date_trunc,count
2017-11-24,1069895
2017-11-23,1131516
2017-11-22,1132760
2017-11-21,1191134
2017-11-20,1185799
2017-11-19,1109625
2017-11-18,1110230
2017-11-17,1071645
2017-11-16,1171479
2017-11-15,1220899
2017-11-14,1154829
2017-11-13,1142827
2017-11-12,1240605
2017-11-11,1047790
2017-11-10,1002092
2017-11-09,1162444
2017-11-08,1161269
2017-11-07,1090237
2017-11-06,1218795
2017-11-05,1181734
2017-11-04,1005363
2017-11-03,1148703
2017-11-02,1140582
2017-11-01,1168259
2017-10-31,1243727
2017-10-30,1172071
2017-10-29,1147835
2017-10-28,1080648
2017-10-27,1085180
2017-10-26,1079764
2017-10-25,1200168
2017-10-24,2